Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768758473,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768758474,20,,Aggregated,0.000000,0.000000,32,33,34,34,35,36,40,40,40,40,40,27,0,32,26.189688888970757,6.110199999966426,40.00400000040827,525.1111111111111
1768758475,60,,Aggregated,0.000000,0.000000,30,32,34,34,36,38,40,40,40,40,40,71,0,30,22.73153661984215,6.036700000549899,40.03740000007383,569.9577464788732
1768758476,80,,Aggregated,20.000000,0.000000,20,32,33,34,36,40,43,44,44,44,44,131,0,20,20.299119847369663,5.619300000034855,44.19159999997646,565.7404580152672
1768758477,100,,Aggregated,28.500000,0.000000,9,29,32,33,38,42,44,45,47,47,47,212,0,9,18.57565707551949,5.034199999499833,47.10320000049251,542.7169811320755
1768758478,120,,Aggregated,36.666667,0.000000,8,25,32,33,36,40,44,45,47,47,47,297,0,8,17.005195286193196,4.313100000217673,47.10320000049251,519.1043771043771
1768758479,140,,Aggregated,43.250000,0.000000,8,13,29,32,35,39,43,44,47,47,47,405,0,8,15.63813753088237,4.202999998597079,47.10320000049251,520.1456790123457
1768758480,160,,Aggregated,52.200000,0.000000,8,10,26,31,35,37,42,44,47,47,47,533,0,8,14.620832457781658,4.183999999440857,47.10320000049251,527.9568480300188
1768758481,180,,Aggregated,58.833333,0.000000,8,9,24,29,34,37,40,44,47,47,47,655,0,8,13.816895419833378,3.9816999997128733,47.10320000049251,532.3740458015267
1768758482,200,,Aggregated,66.428571,0.000000,7,9,15,27,34,36,39,43,47,47,47,807,0,7,13.170137670376867,3.9816999997128733,47.10320000049251,519.3717472118959
1768758483,200,,Aggregated,74.625000,0.000000,7,9,13,26,34,38,45,50,58,58,58,980,0,7,13.205947346916812,3.6779000001843087,57.51810000037949,514.0163265306122
1768758484,200,,Aggregated,82.111111,0.000000,7,9,11,16,33,37,45,50,55,58,58,1138,0,7,12.292636379601094,3.6779000001843087,57.51810000037949,508.5773286467487
1768758485,200,,Aggregated,89.200000,0.000000,7,9,10,12,32,36,44,50,55,58,58,1299,0,7,11.675994765203045,3.6779000001843087,57.51810000037949,509.00769822940725
1768758486,200,,Aggregated,101.700000,0.000000,7,8,10,11,32,36,43,49,55,58,58,1458,0,7,11.205173319602316,3.6779000001843087,57.51810000037949,508.45610425240056
1768758487,200,,Aggregated,115.200000,0.000000,7,8,9,11,30,35,42,48,55,58,58,1623,0,7,10.783366050520957,3.6779000001843087,57.51810000037949,511.9852125693161
1768758488,200,,Aggregated,126.200000,0.000000,7,8,9,10,29,34,40,47,55,58,58,1783,0,7,10.459345709479205,3.6779000001843087,57.51810000037949,511.7218171620864
1768758489,200,,Aggregated,136.400000,0.000000,7,8,9,10,26,34,39,45,55,58,58,1951,0,7,10.158020707334005,3.6779000001843087,57.51810000037949,511.96873398257304
1768758490,200,,Aggregated,143.200000,0.000000,7,8,9,10,24,34,39,45,54,58,58,2118,0,7,9.87369268177619,3.6779000001843087,57.51810000037949,516.7549575070822
1768758491,200,,Aggregated,150.400000,0.000000,7,8,9,9,20,33,39,45,54,58,58,2263,0,7,9.681932655775583,3.6779000001843087,57.51810000037949,517.6336721166593
1768758492,200,,Aggregated,155.000000,0.000000,7,8,9,9,15,33,38,44,54,58,58,2427,0,7,9.554514503510505,3.6779000001843087,57.51810000037949,521.4149155335806
1768758493,200,,Aggregated,157.700000,0.000000,7,8,9,9,14,32,38,44,54,58,58,2564,0,7,9.411815210615442,3.6779000001843087,57.51810000037949,519.7671606864275
1768758494,200,,Aggregated,158.800000,0.000000,7,8,9,9,13,32,37,44,54,58,58,2723,0,7,9.23972368711987,3.6779000001843087,57.51810000037949,517.8461255967683
1768758495,200,,Aggregated,158.500000,0.000000,7,8,9,9,12,32,37,44,54,58,58,2895,0,7,9.070026701219879,3.6779000001843087,57.51810000037949,520.2231433506045
1768758496,200,,Aggregated,160.700000,0.000000,7,8,9,9,12,31,37,43,54,58,58,3048,0,7,8.96951660105553,3.6779000001843087,57.51810000037949,521.252624671916
1768758497,200,,Aggregated,159.300000,0.000000,7,8,8,9,12,30,36,42,54,58,58,3208,0,7,8.838915554874202,3.573300000425661,57.51810000037949,519.1162718204489
1768758498,200,,Aggregated,158.500000,0.000000,7,8,8,9,12,30,36,41,54,58,58,3370,0,7,8.730733086061207,3.573300000425661,57.51810000037949,518.1691394658753
1768758499,200,,Aggregated,157.500000,0.000000,7,8,8,9,12,29,36,40,54,58,58,3537,0,7,8.634356545102737,3.573300000425661,57.51810000037949,516.3652813118462
1768758500,200,,Aggregated,158.100000,0.000000,7,8,8,9,11,28,35,40,54,58,58,3682,0,7,8.554814883222832,3.573300000425661,57.51810000037949,517.139598044541
1768758501,200,,Aggregated,157.400000,0.000000,7,8,8,9,11,27,35,39,54,58,58,3847,0,7,8.470893839361736,3.573300000425661,57.51810000037949,515.2214712763192
1768758502,200,,Aggregated,156.800000,0.000000,7,8,8,9,11,26,35,39,54,58,58,3996,0,7,8.387329129136988,3.284200000052806,57.51810000037949,514.8233233233233
1768758503,200,,Aggregated,156.800000,0.000000,7,8,8,9,11,25,35,39,53,58,58,4154,0,7,8.326343716907488,3.284200000052806,57.51810000037949,515.8786711603274
1768758504,200,,Aggregated,158.500000,0.000000,7,8,8,9,11,23,35,39,53,58,58,4304,0,7,8.264742867104394,3.284200000052806,57.51810000037949,516.6835501858736
1768758505,200,,Aggregated,157.900000,0.000000,7,8,8,9,11,21,34,39,53,58,58,4478,0,7,8.219429120148611,3.284200000052806,57.51810000037949,516.9901741849039
1768758506,200,,Aggregated,158.300000,0.000000,7,8,8,9,11,18,34,38,53,58,58,4637,0,7,8.15912001294628,3.284200000052806,57.51810000037949,517.2037955574725
1768758507,200,,Aggregated,156.800000,0.000000,7,7,8,9,11,16,34,38,53,58,58,4796,0,7,8.095658465393628,3.284200000052806,57.51810000037949,518.0429524603836
1768758508,200,,Aggregated,157.600000,0.000000,7,7,8,9,11,15,34,38,53,58,58,4945,0,7,8.052875005062765,3.284200000052806,57.51810000037949,518.896865520728
1768758509,200,,Aggregated,158.200000,0.000000,6,7,8,9,11,14,34,38,53,58,58,5109,0,6,7.988769465657383,3.284200000052806,57.51810000037949,518.3131728322568
1768758510,200,,Aggregated,156.800000,0.000000,6,7,8,9,10,14,34,37,53,58,58,5286,0,6,7.935578811968451,3.284200000052806,57.51810000037949,519.3484676503973
1768758511,200,,Aggregated,157.800000,0.000000,6,7,8,9,10,13,33,37,53,58,58,5449,0,6,7.891010992857246,3.284200000052806,57.51810000037949,518.1570930445953
1768758512,200,,Aggregated,158.900000,0.000000,6,7,8,9,10,13,33,37,53,58,58,5606,0,6,7.882061951493287,3.284200000052806,57.51810000037949,516.4291830181947
1768758513,200,,Aggregated,160.400000,0.000000,6,7,8,9,10,13,33,37,53,58,58,5761,0,6,7.855939281385817,3.284200000052806,57.51810000037949,516.7597639298733
1768758514,200,,Aggregated,159.600000,0.000000,6,7,8,9,10,13,33,37,53,58,58,5922,0,6,7.829558882143732,3.284200000052806,57.51810000037949,517.6374535629855
1768758515,200,,Aggregated,160.100000,0.000000,6,7,8,9,10,13,33,37,53,58,58,6094,0,6,7.815720331483787,3.284200000052806,57.51810000037949,518.6608139153266
1768758516,200,,Aggregated,159.100000,0.000000,6,7,8,9,10,13,33,37,53,58,58,6247,0,6,7.786935056837856,3.284200000052806,57.51810000037949,517.3635344965584
1768758517,200,,Aggregated,160.200000,0.000000,6,7,8,9,10,13,33,37,53,58,58,6405,0,6,7.779376768159351,3.284200000052806,57.51810000037949,517.9225604996096
1768758518,200,,Aggregated,160.700000,0.000000,6,7,8,9,10,13,33,37,53,58,58,6569,0,6,7.787097944901488,3.284200000052806,57.51810000037949,517.0669812756888
1768758519,200,,Aggregated,160.200000,0.000000,6,7,8,9,10,13,32,36,53,58,58,6722,0,6,7.7599726420809105,3.284200000052806,57.51810000037949,516.8802439750075
1768758520,200,,Aggregated,161.500000,0.000000,6,7,8,9,10,13,32,36,53,58,58,6886,0,6,7.736356970674889,3.284200000052806,57.51810000037949,518.1277955271565
