Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768757492,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768757493,3,,Aggregated,0.000000,0.000000,10,10,15,15,15,15,15,15,15,15,15,4,0,10,9.99809999984791,6.161499999507214,14.558299999407609,1251.25
1768757494,9,,Aggregated,0.000000,0.000000,10,10,10,10,10,15,15,15,15,15,15,12,0,7,8.513125000263244,6.154599999717902,14.558299999407609,813.4166666666666
1768757495,12,,Aggregated,3.000000,0.000000,7,9,10,10,10,15,15,15,15,15,15,20,0,7,7.980695000060223,4.845800000111922,14.558299999407609,601.95
1768757496,15,,Aggregated,4.000000,0.000000,7,9,10,10,10,11,15,15,15,15,15,32,0,7,7.839456250053445,4.845800000111922,14.558299999407609,554.0625
1768757497,18,,Aggregated,5.000000,0.000000,7,8,9,10,10,11,15,15,15,15,15,45,0,7,7.503097777751261,4.708799999207258,14.558299999407609,530.0888888888888
1768757498,21,,Aggregated,5.750000,0.000000,7,8,9,9,10,11,11,15,15,15,15,61,0,7,7.342111475319128,4.708799999207258,14.558299999407609,493.4918032786885
1768757499,24,,Aggregated,7.000000,0.000000,7,8,8,9,10,11,11,15,15,15,15,79,0,7,7.196825316424122,4.708799999207258,14.558299999407609,484.873417721519
1768757500,27,,Aggregated,8.333333,0.000000,7,7,8,9,10,11,12,15,15,15,15,99,0,7,7.13234646463381,4.189299999779905,14.558299999407609,458.32323232323233
1768757501,30,,Aggregated,9.571429,0.000000,7,8,8,9,10,10,11,12,15,15,15,125,0,7,7.138164800024242,4.189299999779905,14.558299999407609,479.184
1768757502,30,,Aggregated,10.750000,0.000000,7,8,8,9,10,11,13,14,15,15,15,150,0,7,7.293762000020554,4.189299999779905,14.558299999407609,481.4533333333333
1768757503,30,,Aggregated,12.000000,0.000000,7,7,8,8,10,10,12,14,15,15,15,176,0,7,7.113205681868997,4.189299999779905,14.558299999407609,485.6818181818182
1768757504,30,,Aggregated,13.300000,0.000000,7,7,8,8,10,10,12,14,15,15,15,193,0,7,7.042183937904349,4.189299999779905,14.558299999407609,477.4507772020725
1768757505,30,,Aggregated,15.100000,0.000000,6,7,8,8,9,10,12,13,15,15,15,222,0,6,6.939599099184904,4.189299999779905,14.558299999407609,458.7072072072072
1768757506,30,,Aggregated,17.100000,0.000000,6,7,8,8,9,10,12,13,15,15,15,248,0,6,6.829507258148184,4.189299999779905,14.558299999407609,469.3346774193548
1768757507,30,,Aggregated,18.300000,0.000000,6,7,7,8,9,10,11,13,15,15,15,269,0,6,6.760572862545395,4.189299999779905,14.558299999407609,465.02973977695166
1768757508,30,,Aggregated,20.200000,0.000000,6,7,7,8,9,10,11,13,15,15,15,296,0,6,6.729362837902315,4.189299999779905,14.558299999407609,473.19594594594594
1768757509,30,,Aggregated,21.400000,0.000000,6,7,7,8,9,10,11,12,15,15,15,317,0,6,6.706440694064044,4.189299999779905,14.558299999407609,477.7697160883281
1768757510,30,,Aggregated,22.200000,0.000000,6,7,7,8,9,10,11,12,15,15,15,340,0,6,6.631170294167532,4.130999999688356,14.558299999407609,483.7970588235294
1768757511,30,,Aggregated,23.000000,0.000000,6,7,7,8,9,10,11,12,15,15,15,365,0,6,6.587690410981862,4.130999999688356,14.558299999407609,480.2821917808219
1768757512,30,,Aggregated,23.400000,0.000000,6,7,7,7,9,10,11,12,15,15,15,389,0,6,6.545034961458357,4.130999999688356,14.558299999407609,476.11053984575835
1768757513,30,,Aggregated,23.400000,0.000000,6,7,7,7,9,10,10,12,15,15,15,410,0,6,6.50743536585296,4.130999999688356,14.558299999407609,480.94146341463414
1768757514,30,,Aggregated,23.200000,0.000000,6,7,7,7,9,10,11,12,15,15,15,434,0,6,6.4952900921580214,4.130999999688356,14.558299999407609,477.15668202764977
1768757515,30,,Aggregated,23.600000,0.000000,6,7,7,7,9,10,10,12,15,15,15,459,0,6,6.47982919389365,4.130999999688356,14.558299999407609,483.83660130718954
1768757516,30,,Aggregated,23.200000,0.000000,6,7,7,7,8,10,10,12,15,15,15,483,0,6,6.452898343685893,4.090700000233483,14.558299999407609,481.32919254658384
1768757517,30,,Aggregated,23.900000,0.000000,6,7,7,7,8,10,10,12,22,22,22,502,0,6,6.476003386455252,4.090700000233483,21.88639999985753,482.06573705179284
1768757518,30,,Aggregated,23.400000,0.000000,6,7,7,7,9,10,11,12,26,26,26,527,0,6,6.56551840607752,4.090700000233483,26.05790000052366,484.61100569259963
1768757519,30,,Aggregated,23.500000,0.000000,6,7,7,7,9,10,11,12,26,26,26,552,0,6,6.570464673906326,4.090700000233483,26.05790000052366,491.45108695652175
1768757520,30,,Aggregated,23.000000,0.000000,6,7,7,7,9,10,11,13,26,26,26,575,0,6,6.596937043482878,4.090700000233483,26.05790000052366,488.2608695652174
1768757522,30,,Aggregated,23.000000,0.000000,6,7,7,7,9,10,11,12,26,26,26,602,0,6,6.577710299001126,4.090700000233483,26.05790000052366,488.56976744186045
1768757523,30,,Aggregated,23.300000,0.000000,6,7,7,7,9,10,11,13,26,26,26,630,0,6,6.628518412700999,4.090700000233483,26.05790000052366,490.968253968254
1768757524,30,,Aggregated,23.300000,0.000000,6,7,7,7,9,10,11,13,26,26,26,649,0,6,6.624051155629643,4.090700000233483,26.05790000052366,493.7149460708783
1768757525,30,,Aggregated,23.800000,0.000000,6,7,7,7,9,10,11,13,26,26,26,674,0,6,6.607800445112236,4.090700000233483,26.05790000052366,496.9183976261128
1768757526,30,,Aggregated,23.800000,0.000000,6,7,7,7,9,10,11,13,26,26,26,698,0,6,6.618970487107958,4.090700000233483,26.05790000052366,499.2879656160458
