Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1949,0,6,6.4623150333554,3.9586999992025085,27.269199999864213,1524.0,6.517007823429887,0.0,6,7,7,8,8,9,11,12,22,27,27
GET,/api/terms,5823,0,6,6.541360570155417,4.008699999758392,28.147499999249703,433.0,19.470772989139167,0.0,6,7,7,8,8,9,11,12,26,28,28
GET,/api/terms/1,1300,0,6,6.481250384604209,3.9419999993697274,26.791800000864896,137.0,4.34690106231855,0.0,6,7,7,8,8,9,11,13,23,27,27
GET,/api/terms/2,1304,0,6,6.403157131904786,4.061800000272342,22.1650999992562,133.0,4.360276142510299,0.0,6,7,7,8,8,9,11,12,21,22,22
GET,/api/terms/3,1269,0,6,6.3998234830640195,4.033500001241919,21.991699999489356,139.0,4.243244190832492,0.0,6,7,7,7,8,9,10,12,18,22,22
,Aggregated,11645,0,6,6.490520652642526,3.9419999993697274,28.147499999249703,516.9221124946329,38.93820220823039,0.0,6,7,7,8,8,9,11,12,25,27,28
