Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7982,0,6,7.085884089193375,3.463900000497233,50.58629999984987,1524.0,26.669592211172066,0.0,6,7,8,9,10,12,14,21,38,51,51
GET,/api/terms,23116,0,6,7.027649623634877,3.2189000012294855,54.405599999881815,433.0,77.23556671930011,0.0,6,7,8,8,10,11,14,18,39,53,54
GET,/api/terms/1,5316,0,6,7.074235195645781,3.1722999992780387,57.51810000037949,137.0,17.761908318039428,0.0,6,7,8,9,10,11,14,21,44,58,58
GET,/api/terms/2,5208,0,6,7.064353705839155,3.383699999176315,52.69550000048184,133.0,17.401056907514924,0.0,6,7,8,8,10,11,14,21,49,53,53
GET,/api/terms/3,5244,0,6,6.983569774990111,3.304300000309013,54.720300000553834,139.0,17.52134071102309,0.0,6,7,8,8,10,11,13,17,37,55,55
,Aggregated,46866,0,6,7.041998544787228,3.1722999992780387,57.51810000037949,519.0045662100457,156.5894648670496,0.0,6,7,8,8,10,11,14,19,39,53,58
